,"(('HP', 'th. Energy'), 'flow')","(('TES', 'th. Energy'), 'flow')","(('th. Energy', 'TES'), 'flow')","(('th. Energy', 'demand_th'), 'flow')"
2023-01-15 16:00:00,1265.4386,0.0,403.35249,862.0860929467307
2023-01-15 17:00:00,1265.4386,0.0,359.77451,905.6640712715105
2023-01-15 18:00:00,1265.4386,0.0,319.98592,945.4526601767442
2023-01-15 19:00:00,1265.4386,0.0,293.4602,971.9783861135667
2023-01-15 20:00:00,1265.4386,0.0,301.03897,964.3996072744745
2023-01-15 21:00:00,1265.4386,0.0,386.30024,879.1383453346879
2023-01-15 22:00:00,1265.4386,0.0,518.92887,746.5097156505755
2023-01-15 23:00:00,1265.4386,0.0,715.97712,549.46146583418
2023-01-16 00:00:00,1265.4386,0.0,786.01098,479.42760164688497
2023-01-16 01:00:00,1265.4386,0.0,739.34104,526.097545170033
2023-01-16 02:00:00,1265.4386,0.0,766.91873,498.519851269991
2023-01-16 03:00:00,1265.4386,0.0,720.24879,545.1897947931391
2023-01-16 04:00:00,1265.4386,0.0,531.44765,733.9909299549655
2023-01-16 05:00:00,1265.4386,0.0,175.05899,1090.3795895862781
2023-01-16 06:00:00,0.0,1113.7146,0.0,1113.7145613478522
2023-01-16 07:00:00,0.0,1075.5301,0.0,1075.5300621016402
2023-01-16 08:00:00,0.0,1047.9524,0.0,1047.9523682015981
2023-01-16 09:00:00,0.0,988.55426,0.0,988.5542582630461
2023-01-16 10:00:00,952.49112,0.0,0.0,952.491120086068
2023-01-16 11:00:00,920.6707,0.0,0.0,920.6707040475578
2023-01-16 12:00:00,1265.4386,0.0,361.73877,903.6998154936857
2023-01-16 13:00:00,1265.4386,0.0,374.46693,890.9716490782818
2023-01-16 14:00:00,1265.4386,0.0,374.46693,890.9716490782818
2023-01-16 15:00:00,1265.4386,0.0,351.13196,914.3066208398559
2023-01-16 16:00:00,965.21929,0.0,0.0,965.2192865014719
2023-01-16 17:00:00,0.0,1014.0106,0.0,1014.010591093854
2023-01-16 18:00:00,0.0,1058.5592,0.0,1058.559173547768
2023-01-16 19:00:00,1088.2582,0.0,0.0,1088.258228517044
2023-01-16 20:00:00,1265.4386,0.0,185.6658,1079.7727842401082
2023-01-16 21:00:00,1265.4386,0.0,281.12705,984.3115361245779
2023-01-16 22:00:00,1265.4386,0.0,429.62232,835.8162612781977
2023-01-16 23:00:00,1265.4386,0.0,650.24387,615.1947100778613
2023-01-17 00:00:00,1265.4386,0.0,695.91215,569.5264319917942
2023-01-17 01:00:00,1265.4386,0.0,659.71344,605.7251458895778
2023-01-17 02:00:00,1265.4386,0.0,652.47369,612.9648886691343
2023-01-17 03:00:00,1265.4386,0.0,604.20874,661.2298405328457
2023-01-17 04:00:00,1265.4386,0.0,444.9344,820.5041816830933
2023-01-17 05:00:00,1265.4386,0.0,46.748547,1218.6900345587121
