dhi;dni;ghi;temp_air;wind_speed
0;0;0;-0.1;1.9
0;0;0;-0.2;2.3
7;5;7.135246519;-0.3;2.6
33;14;34.85643334;0.2;2.2
47;0;47;0.4;2.9
36;0;36;0.7;3.3
44;0;44;0.2;3
39;0;39;0.4;2.6
21;0;21;0.7;2.8
11;0;11;0.6;2.5
0;0;0;0.5;2.4
0;0;0;0.7;2.8
0;0;0;0.8;3.2
0;0;0;0.7;2.8
0;0;0;0.4;2.7
0;0;0;-0.3;3.4
0;0;0;-0.4;2.6
0;0;0;-0.3;2.5
0;0;0;-0.1;3
0;0;0;-0.6;2.8
0;0;0;-1.1;2.5
0;0;0;-0.8;2.7
0;0;0;-0.4;3
0;0;0;0;2.5
0;0;0;0.2;2.7
0;0;0;0.5;2.4
5;0;5;0.8;2.5
44;3;44.40455279;1.1;3
48;0;48;1.4;2.8
37;0;37;1.8;2.9
65;0;65;2.1;3.2
46;0;46;2.3;3.7
27;0;27;2.7;3.3
7;0;7;3.1;3.7
0;0;0;3.5;3.9
0;0;0;3.6;5.2
0;0;0;4;5.2
0;0;0;4.2;5.6
0;0;0;4.9;5.9
0;0;0;5;5.4
0;0;0;5.2;5.3
0;0;0;5.5;6.2
0;0;0;5.5;5.9
0;0;0;5.4;6.6
0;0;0;5.8;6
0;0;0;6.2;6.6
0;0;0;6.5;6.3
0;0;0;6.5;6.7
0;0;0;6.9;6.7
0;0;0;6.9;6.6
3;0;3;6.9;6.7
14;0;14;7.1;6
34;0;34;7.2;6.8
39;0;39;7.7;7.5
25;0;25;7.9;8.4
22;0;22;8.1;7.6
14;0;14;8.3;7.7
6;0;6;8.2;8.1
0;0;0;8.3;8.3
0;0;0;8.4;8.4
0;0;0;8.5;8.6
0;0;0;8.5;7.8
0;0;0;8.3;8.1
0;0;0;8.1;8.5
0;0;0;8;7.6
0;0;0;7.8;7.7
0;0;0;7.6;7.5
0;0;0;7.5;6.9
0;0;0;7.3;7.2
0;0;0;7.3;7.4
0;0;0;7.3;6.8
0;0;0;6.4;6.8
0;0;0;6.2;6.8
0;0;0;6.3;6.6
11;1;11.03158521;3.1;6
36;0;36;2.7;4.4
75;9;77.02762044;3.7;6.6
50;174;98.0776574;4.3;7.3
50;206;109.6782127;5.4;7.3
101;18;105.7557751;5.8;7.5
34;0;34;5.8;6.7
13;0;13;5.6;6.9
1;0;1;5.4;6.7
0;0;0;4.9;6.7
0;0;0;3.9;5.7
0;0;0;3.5;5.6
0;0;0;3.1;5.3
0;0;0;2.7;5.3
0;0;0;2.9;4.7
0;0;0;3.1;4
0;0;0;3.5;3
0;0;0;3.7;2.3
0;0;0;3.7;1.6
0;0;0;3.3;1.8
0;0;0;3.1;2.1
0;0;0;2.4;2.8
0;0;0;2.6;3.5
0;0;0;2.6;3.8
11;5;11.16664807;2.8;3.1
39;68;48.69876749;2.9;3.5
53;147;86.56757791;3.9;4
60;197;115.0602936;5;5
74;188;129.1227518;6.8;5.8
84;138;120.9717252;8.3;4.8
83;49;93.07889874;8.1;4.8
41;6;41.66360998;8.2;4.7
2;0;2;7.9;4.6
0;0;0;6.9;4.5
0;0;0;6.6;4.7
0;0;0;6.2;3.8
0;0;0;5.8;3.9
0;0;0;5.6;3.7
0;0;0;5.3;3.8
0;0;0;5.1;3.4
0;0;0;4.7;3.6
0;0;0;4.2;3.2
0;0;0;4.4;2.9
0;0;0;4;3.1
0;0;0;4;3.2
0;0;0;3.6;3.2
0;0;0;3.7;3.9
0;0;0;4;3.2
11;7;11.24673843;4.3;3.4
37;80;48.63138805;4.8;4.1
47;164;84.95096555;6;4
54;213;114.2813676;7.3;3
63;212;125.9021496;8.6;3.8
77;156;119.3709144;10.8;3.1
82;58;94.14797845;10.8;3.7
44;7;44.80091904;10.9;3
3;0;3;10.3;2.7
0;0;0;9;2.5
0;0;0;8.5;2.9
0;0;0;8;2.8
0;0;0;7.5;2.8
0;0;0;6.3;2.5
0;0;0;5.7;2.1
0;0;0;5.2;2
0;0;0;4.4;1.9
0;0;0;3.6;2.4
0;0;0;3.1;2
0;0;0;2.6;2.6
0;0;0;2.2;2.4
0;0;0;1.5;2.3
0;0;0;1.5;2.2
0;0;0;1.5;2.5
12;7;12.26138954;1.8;1.9
43;77;54.42119735;2.1;2.4
57;156;93.60277348;3.1;1.9
64;206;123.0240579;5.3;2.3
72;208;134.4775572;6.7;2.5
78;171;125.1052981;9.1;2.8
79;87;97.56331411;8.8;2.4
48;26;51.07850318;8.8;2.4
8;0;8;7.7;2
0;0;0;7.4;2
0;0;0;6.7;1.3
0;0;0;6.8;1.5
0;0;0;6.2;0.7
0;0;0;6.3;1.2
0;0;0;6.8;1.7
0;0;0;7.1;1.4
0;0;0;7;1.9
0;0;0;7.3;1.8
0;0;0;7.5;2.4
0;0;0;6.8;1.9
0;0;0;6.6;2
0;0;0;7;1.8
0;0;0;6.6;1.8
0;0;0;6.7;2.1
12;2;12.07921722;6.6;2.2
46;2;46.30286669;6.7;2
57;0;57;6.8;2.2
120;18;125.2206145;6.8;2.6
135;81;159.6266779;7.6;2.4
118;95;144.535998;7.8;2.7
94;59;106.8201991;6.8;2.8
50;15;51.83583534;6.6;2.8
6;0;6;5.7;2.2
0;0;0;4.7;1.9
0;0;0;4;2.4
0;0;0;3.1;2.2
0;0;0;2.7;1.8
0;0;0;2.6;1.4
0;0;0;2.3;1.2
0;0;0;2.2;1.2
0;0;0;2.2;1.2
0;0;0;2.1;1.8
0;0;0;1.6;2
0;0;0;1.5;2.3
0;0;0;1.2;2.7
0;0;0;1;2.9
0;0;0;1.3;1.2
0;0;0;1.8;1.3
7;4;7.167502615;2.5;1.8
33;22;36.39983495;2.7;3
65;9;67.17272435;3.1;2.8
57;0;57;3.6;2.8
54;0;54;4.1;3.2
53;0;53;4.3;2.8
35;0;35;4.6;2
19;0;19;4.6;2.4
0;0;0;4.7;1.7
0;0;0;4.9;1.8
0;0;0;4.9;2.9
0;0;0;4.5;2.6
0;0;0;4.5;2.9
0;0;0;4.5;1.8
0;0;0;4.7;2.1
0;0;0;4.7;2.4
0;0;0;4.4;2.7
0;0;0;3.9;2.6
0;0;0;3.4;2.6
0;0;0;3.3;2
0;0;0;3;2.5
0;0;0;1.6;2.6
0;0;0;1.3;2.2
0;0;0;1;2
15;9;15.3988516;1.2;3.5
50;82;62.95482975;1.5;3.6
67;158;105.7050974;2.4;4.1
130;63;148.7346171;3.7;3.8
107;2;107.6240066;5.2;4
30;0;30;5.9;4.6
38;0;38;5.9;5.7
28;0;28;6.4;5.1
4;0;4;6.7;5
0;0;0;6.8;4.1
0;0;0;6.6;4.5
0;0;0;6.5;4.6
0;0;0;6.4;4.5
0;0;0;6.2;4.4
0;0;0;6.2;4.3
0;0;0;5.9;4.1
0;0;0;5.2;4.3
0;0;0;5.1;4.2
0;0;0;5.1;3.8
0;0;0;5.1;4.5
0;0;0;5.4;4.2
0;0;0;5.6;4
0;0;0;5.4;3.9
0;0;0;5.4;4
13;1;13.04693211;5.8;4.8
51;2;51.32251867;6.8;5.8
91;5;92.24260417;7.8;6.2
134;23;140.9315456;9.2;6.7
117;5;118.5799012;10.6;7.8
66;0;66;10.8;8.5
